representation,target,depth,learning_rate,l2_leaf_reg,iterations,real_val_MAE,stress_val_MAE,selection_score
A_SOLUTION,score_completeness,4,0.05,30,400,9.5635911286313,19.069049366280662,13.365774423691045
A_SOLUTION,score_completeness,4,0.03,10,300,9.538927952946976,20.664795328360295,13.989274903112303
A_SOLUTION,score_completeness,6,0.03,30,300,10.00285278675681,20.136558852178183,14.05633521292536
A_SOLUTION,score_completeness,6,0.05,10,400,10.827821408382412,20.064271100957377,14.5224012854124
A_SOLUTION,score_effectiveness,4,0.05,30,400,10.007578654194633,22.09470777747848,14.842430303508172
A_SOLUTION,score_effectiveness,6,0.05,10,400,9.375210438075637,23.39415284171405,14.982787399531002
A_SOLUTION,score_effectiveness,6,0.03,30,300,9.583774013285092,24.381031943999997,15.502677185571056
A_SOLUTION,score_effectiveness,4,0.03,10,300,9.382187591674091,25.278092100453133,15.74054939518571
A_SOLUTION,score_factchecking,4,0.03,10,300,3.2060333634914935,23.65027590401508,11.383730379700928
A_SOLUTION,score_factchecking,4,0.05,30,400,4.123647651769098,22.298346201716097,11.393527071747899
A_SOLUTION,score_factchecking,6,0.05,10,400,7.007687426355771,20.891276321993463,12.561122984610847
A_SOLUTION,score_factchecking,6,0.03,30,300,6.610588371707402,21.65073035103249,12.626645163437438
A_SOLUTION,score_logic,6,0.05,10,400,5.0309788976994385,18.466370151152383,10.405135399080617
A_SOLUTION,score_logic,6,0.03,30,300,5.1677587794027815,19.424389075628216,10.870410897892956
A_SOLUTION,score_logic,4,0.05,30,400,5.258793590740454,19.4151410569563,10.921332577226792
A_SOLUTION,score_logic,4,0.03,10,300,4.815224832054536,20.158871513345098,10.95268350457076
A_SOLUTION,score_originality,4,0.05,30,400,8.805135911546772,12.994999094437963,10.48108118470325
A_SOLUTION,score_originality,6,0.03,30,300,8.955264967690944,13.030842270943436,10.585495888991941
A_SOLUTION,score_originality,4,0.03,10,300,8.485904508401742,13.75570903668652,10.593826319715653
A_SOLUTION,score_originality,6,0.05,10,400,9.182620411728793,13.939886819831328,11.085526974969806
B_FULL_INTERACTIONS,score_completeness,4,0.05,30,400,8.907551485621392,20.759667721836035,13.648397980107248
B_FULL_INTERACTIONS,score_completeness,4,0.03,10,300,8.84715592899092,21.383433088571856,13.861666792823293
B_FULL_INTERACTIONS,score_completeness,6,0.03,30,300,9.749402686405015,20.322039118755015,13.978457259345015
B_FULL_INTERACTIONS,score_completeness,6,0.05,10,400,9.552891470989607,20.899240230396426,14.091430974752335
B_FULL_INTERACTIONS,score_effectiveness,4,0.03,10,300,9.136874432422212,25.8803368113026,15.83425938397437
B_FULL_INTERACTIONS,score_effectiveness,4,0.05,30,400,9.336483482060638,25.9245465577277,15.971708712327464
B_FULL_INTERACTIONS,score_effectiveness,6,0.03,30,300,10.067295769439593,26.5546586321837,16.662240914537236
B_FULL_INTERACTIONS,score_effectiveness,6,0.05,10,400,9.651885599935778,27.809012794975306,16.91473647795159
B_FULL_INTERACTIONS,score_factchecking,4,0.05,30,400,4.66107439369681,22.808148661108078,11.919904100661318
B_FULL_INTERACTIONS,score_factchecking,4,0.03,10,300,4.092182194977686,24.027302261245428,12.066230221484783
B_FULL_INTERACTIONS,score_factchecking,6,0.03,30,300,6.561970008130715,23.0219349645689,13.145955990705989
B_FULL_INTERACTIONS,score_factchecking,6,0.05,10,400,8.292263457356551,20.870478424820604,13.323549444342174
B_FULL_INTERACTIONS,score_logic,4,0.05,30,400,4.894172076413845,19.898329044164722,10.895834863514196
B_FULL_INTERACTIONS,score_logic,4,0.03,10,300,4.64067198655225,20.998136513525903,11.183657797341711
B_FULL_INTERACTIONS,score_logic,6,0.03,30,300,5.292955112180439,20.21965105490229,11.26363348926918
B_FULL_INTERACTIONS,score_logic,6,0.05,10,400,6.002615914004106,20.11996566530097,11.649555814522852
B_FULL_INTERACTIONS,score_originality,4,0.05,30,400,8.64238434122011,13.500393851184617,10.585588145205913
B_FULL_INTERACTIONS,score_originality,4,0.03,10,300,8.701778374269935,13.669664373289853,10.688932773877902
B_FULL_INTERACTIONS,score_originality,6,0.03,30,300,9.486083421306136,13.56790418985305,11.118811728724902
B_FULL_INTERACTIONS,score_originality,6,0.05,10,400,9.59445971015874,13.890478544932936,11.312867244068418
C_SOLUTION_HANDCRAFTED,score_completeness,6,0.05,10,400,4.1399217152948475,14.628748487097985,8.335452424016104
C_SOLUTION_HANDCRAFTED,score_completeness,4,0.05,30,400,4.613585430576322,15.564516709519815,8.993957942153719
C_SOLUTION_HANDCRAFTED,score_completeness,4,0.03,10,300,4.157043931905922,16.249547304229125,8.994045280835204
C_SOLUTION_HANDCRAFTED,score_completeness,6,0.03,30,300,4.042694162004515,16.965080137943193,9.211648552379986
C_SOLUTION_HANDCRAFTED,score_effectiveness,4,0.03,10,300,5.72006954973738,19.559327967427986,11.255772916813623
C_SOLUTION_HANDCRAFTED,score_effectiveness,4,0.05,30,400,6.088640567567991,20.406948805386094,11.81596386269523
